introdution,time,num,score,movie_name
"
                    In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned.
            ",(1971),"634,425",8.3,A Clockwork Orange
"
                    An insurance representative lets himself be talked into a murder/insurance fraud scheme that arouses an insurance investigator's suspicions.
            ",(1944),"113,469",8.3,Double Indemnity
"
                    The incredible story of ",(1984),"309,271",8.3,Amadeus
"
                    An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.
            ",(2007),"117,978",8.3,Like Stars on Earth
"
                    Amélie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers love.
            ",(2001),"605,100",8.3,Amélie
"
                    After a daring mission to rescue Han Solo from Jabba the Hutt, the rebels dispatch to Endor to destroy a more powerful Death Star. Meanwhile, Luke struggles to help Vader back from the dark side without falling into the Emperor's trap.
            ",(1983),"794,070",8.3,Star Wars: Episode VI - Return of the Jedi
"
                    Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?
            ",(2016),"81,337",8.3,Your Name
"
                    When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt.
            ",(1931),"114,466",8.3,M
"
                    The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.
            ",(2000),"650,513",8.3,Requiem for a Dream
"
                    After a simple jewelry heist goes terribly wrong, the surviving criminals begin to suspect that one of them is a police informant.
            ",(1992),"758,737",8.3,Reservoir Dogs
"
                    When his secret bride is executed for assaulting an English soldier who tried to rape her, Sir William Wallace begins a revolt against King Edward I of England.
            ",(1995),"831,602",8.3,Braveheart
"
                    Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.
            ",(2016),"86,693",8.3,Dangal
"
                    A hapless New York advertising executive is mistaken for a government agent by a group of foreign spies, and is pursued across the country while he looks for a way to survive.
            ",(1959),"248,135",8.3,North by Northwest
"
                    A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life.
            ",(1984),"252,440",8.4,Once Upon a Time in America
"
                    A San Francisco detective suffering from acrophobia investigates the strange activities of an old friend's wife, all the while becoming dangerously obsessed with her.
            ",(1958),"289,290",8.3,Vertigo
"
                    Ellen Ripley is rescued by a deep salvage team after being hypersleep for 57 years. The moon that the Nostromo visited has been colonized, but contact is lost. This time, colonial marines have impressive firepower, but will that be enough?
            ",(1986),"556,687",8.4,Aliens
"
                    Following the death of a publishing tycoon, news reporters scramble to discover the meaning of his final utterance.
            ",(1941),"335,090",8.3,Citizen Kane
"
                    The claustrophobic world of a WWII German U-boat; boredom, filth, and sheer terror.
            ",(1981),"191,182",8.3,Das Boot
"
                    After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days.
            ",(2003),"416,204",8.4,Oldboy
"
                    A veteran British barrister must defend his client in a murder trial that has surprise after surprise.
            ",(1957),"78,334",8.4,Witness for the Prosecution
"
                    A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.
            ",(1999),"925,604",8.4,American Beauty
"
                    Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City, now on the edge of total annihilation, from the brutal guerrilla terrorist Bane.
            ",(2012),"1,288,105",8.4,The Dark Knight Rises
"
                    On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime.
            ",(1997),"263,507",8.4,Princess Mononoke
"
                    With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.
            ",(2012),"1,107,942",8.4,Django Unchained
"
                    A family heads to an isolated hotel for the winter where an evil spiritual presence influences the father into violence, while his psychic son sees horrific forebodings from the past and of the future.
            ",(1980),"705,183",8.4,The Shining
"
                    After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them.
            ",(1957),"140,056",8.4,Paths of Glory
"
                    In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.
            ",(2008),"827,816",8.4,WALL·E
"
                    In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives.
            ",(2006),"295,816",8.4,The Lives of Others
"
                    A young boy and his little sister struggle to survive in Japan during World War II.
            ",(1988),"169,425",8.4,Grave of the Fireflies
"
                    A screenwriter is hired to rework a faded silent film star's script, only to find himself developing a dangerous relationship.
            ",(1950),"161,169",8.4,Sunset Boulevard
"
                    Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.
            ",(1940),"161,959",8.4,The Great Dictator
"
                    A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.
            ",(1988),"179,292",8.4,Cinema Paradiso
"
                    An insane general triggers a path to nuclear holocaust that a war room full of politicians and generals frantically tries to stop.
            ",(1964),"385,288",8.4,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
"
                    Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.
            ",(2017),"118,400",8.4,Coco
"
                    After a space merchant vessel perceives an unknown transmission as a distress call, its landing on the source moon finds one of the crew attacked by a mysterious lifeform, and they soon realize that its life cycle has merely begun.
            ",(1979),"655,331",8.4,Alien
"
                    A man juggles searching for his wife's murderer and keeping his short-term memory loss from being an obstacle.
            ",(2000),"957,783",8.5,Memento
"
                    A Lion cub crown prince is tricked by a treacherous uncle into thinking he caused his father's death and flees into exile in despair, only to learn in adulthood his identity and his responsibilities.
            ",(1994),"750,956",8.5,The Lion King
"
                    During the Vietnam War, Captain Willard is sent on a dangerous mission into Cambodia to assassinate a renegade Colonel who has set himself up as a god among a local tribe.
            ",(1979),"505,728",8.4,Apocalypse Now
"
                    After a tragic accident two stage magicians engage in a battle to create the ultimate illusion whilst sacrificing everything they have to outwit the other.
            ",(2006),"976,968",8.5,The Prestige
"
                    A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.
            ",(2014),"534,503",8.5,Whiplash
"
                    A wheelchair-bound photographer spies on his neighbours from his apartment window and becomes convinced one of them has committed murder.
            ",(1954),"362,231",8.5,Rear Window
"
                    When a Roman General is betrayed, and his family murdered by an emperor's corrupt son, he comes to Rome as a gladiator to seek revenge.
            ",(2000),"1,114,002",8.5,Gladiator
"
                    Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.
            ",(1985),"846,343",8.5,Back to the Future
"
                    A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten year old son, John Connor, from a more advanced cyborg.
            ",(1991),"837,568",8.5,Terminator 2
"
                    Archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before the Nazis.
            ",(1981),"745,626",8.5,Raiders of the Lost Ark
"
                    An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.
            ",(2006),"991,046",8.5,The Departed
"
                    With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.
            ",(1931),"129,238",8.5,City Lights
"
                    A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.
            ",(2002),"579,767",8.5,The Pianist
"
                    The Tramp struggles to live in modern industrial society with the help of a young homeless woman.
            ",(1936),"169,412",8.5,Modern Times
"
                    After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.
            ",(2011),"605,078",8.5,The Intouchables
"
                    A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother.
            ",(1960),"485,781",8.5,Psycho
"
                    A cynical nightclub owner protects an old flame and her husband from Nazis in Morocco.
            ",(1942),"437,746",8.5,Casablanca
"
                    A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.
            ",(1968),"247,824",8.5,Once Upon a Time in the West
"
                    The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.
            ",(1999),"913,237",8.5,The Green Mile
"
                    A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.
            ",(1998),"883,010",8.5,American History X
"
                    During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts.
            ",(2001),"497,099",8.5,Spirited Away
"
                    Mathilda, a 12-year-old girl, is reluctantly taken in by Léon, a professional assassin, after her family is murdered. Léon and Mathilda form an unusual relationship, as she becomes his protégée and learns the assassin's trade.
            ",(1994),"837,258",8.5,Léon: The Professional
"
                    Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.
            ",(1998),"1,012,240",8.5,Saving Private Ryan
"
                    A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.
            ",(1995),"838,557",8.6,The Usual Suspects
"
                    A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.
            ",(2014),"1,148,876",8.5,Interstellar
"
                    When an open-minded Jewish librarian and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp.
            ",(1997),"496,263",8.6,Life Is Beautiful
"
                    A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.
            ",(1966),"569,162",8.8,"The Good, the Bad and the Ugly"
"
                    A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.
            ",(1991),"1,025,442",8.6,The Silence of the Lambs
"
                    The lives of two mob hitmen, a boxer, a gangster's wife, and a pair of diner bandits intertwine in four tales of violence and redemption.
            ",(1994),"1,501,940",8.9,Pulp Fiction
"
                    A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.
            ",(1957),"530,920",8.9,12 Angry Men
"
                    Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.
            ",(2003),"1,372,329",8.9,The Lord of the Rings: The Return of the King
"
                    In German-occupied Poland during World War II, Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazi Germans.
            ",(1993),"989,831",8.9,Schindler's List
"
                    An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.
            ",(1946),"322,042",8.6,It's a Wonderful Life
"
                    When the menace known as the Joker emerges from his mysterious past, he wreaks havoc and chaos on the people of Gotham, the Dark Knight must accept one of the greatest psychological and physical tests of his ability to fight injustice.
            ",(2008),"1,894,009",9.0,The Dark Knight
